Date,Year,Month,Day,Quarter,Date Key,Day of Week
2014-12-03 00:00:00.000,2014,12,3,4,20141203,3
2014-10-21 00:00:00.000,2014,10,21,4,20141021,2
2014-11-24 00:00:00.000,2014,11,24,4,20141124,1
2014-10-14 00:00:00.000,2014,10,14,4,20141014,2
2014-12-18 00:00:00.000,2014,12,18,4,20141218,4
2014-11-21 00:00:00.000,2014,11,21,4,20141121,5
2014-10-08 00:00:00.000,2014,10,8,4,20141008,3
2014-12-06 00:00:00.000,2014,12,6,4,20141206,6
2014-11-02 00:00:00.000,2014,11,2,4,20141102,0
2014-11-11 00:00:00.000,2014,11,11,4,20141111,2
2014-11-19 00:00:00.000,2014,11,19,4,20141119,3
2014-10-09 00:00:00.000,2014,10,9,4,20141009,4
2014-12-26 00:00:00.000,2014,12,26,4,20141226,5
2014-10-24 00:00:00.000,2014,10,24,4,20141024,5
2014-10-20 00:00:00.000,2014,10,20,4,20141020,1
2014-12-22 00:00:00.000,2014,12,22,4,20141222,1
2014-11-15 00:00:00.000,2014,11,15,4,20141115,6
2014-12-15 00:00:00.000,2014,12,15,4,20141215,1
2014-12-14 00:00:00.000,2014,12,14,4,20141214,0
2014-11-30 00:00:00.000,2014,11,30,4,20141130,0
2014-11-16 00:00:00.000,2014,11,16,4,20141116,0
2014-12-09 00:00:00.000,2014,12,9,4,20141209,2
2014-10-07 00:00:00.000,2014,10,7,4,20141007,2
2014-12-08 00:00:00.000,2014,12,8,4,20141208,1
2014-10-28 00:00:00.000,2014,10,28,4,20141028,2
2014-12-24 00:00:00.000,2014,12,24,4,20141224,3
2014-11-12 00:00:00.000,2014,11,12,4,20141112,3
2014-10-29 00:00:00.000,2014,10,29,4,20141029,3
2014-10-11 00:00:00.000,2014,10,11,4,20141011,6
2014-10-13 00:00:00.000,2014,10,13,4,20141013,1
2014-11-14 00:00:00.000,2014,11,14,4,20141114,5
2014-10-02 00:00:00.000,2014,10,2,4,20141002,4
2014-11-08 00:00:00.000,2014,11,8,4,20141108,6
2014-10-18 00:00:00.000,2014,10,18,4,20141018,6
2014-11-03 00:00:00.000,2014,11,3,4,20141103,1
2014-12-20 00:00:00.000,2014,12,20,4,20141220,6
2014-11-29 00:00:00.000,2014,11,29,4,20141129,6
2014-11-10 00:00:00.000,2014,11,10,4,20141110,1
2014-12-16 00:00:00.000,2014,12,16,4,20141216,2
2014-11-13 00:00:00.000,2014,11,13,4,20141113,4
2014-10-01 00:00:00.000,2014,10,1,4,20141001,3
2014-10-31 00:00:00.000,2014,10,31,4,20141031,5
2014-10-15 00:00:00.000,2014,10,15,4,20141015,3
2014-10-06 00:00:00.000,2014,10,6,4,20141006,1
2014-10-10 00:00:00.000,2014,10,10,4,20141010,5
2014-12-28 00:00:00.000,2014,12,28,4,20141228,0
2014-10-25 00:00:00.000,2014,10,25,4,20141025,6
2014-11-09 00:00:00.000,2014,11,9,4,20141109,0
2014-11-23 00:00:00.000,2014,11,23,4,20141123,0
2014-10-30 00:00:00.000,2014,10,30,4,20141030,4
2014-10-05 00:00:00.000,2014,10,5,4,20141005,0
2014-10-12 00:00:00.000,2014,10,12,4,20141012,0
2014-10-19 00:00:00.000,2014,10,19,4,20141019,0
2014-12-07 00:00:00.000,2014,12,7,4,20141207,0
2014-10-26 00:00:00.000,2014,10,26,4,20141026,0
2014-06-09 00:00:00.000,2014,6,9,2,20140609,1
2014-06-30 00:00:00.000,2014,6,30,2,20140630,1
2014-06-24 00:00:00.000,2014,6,24,2,20140624,2
2014-06-12 00:00:00.000,2014,6,12,2,20140612,4
2014-05-20 00:00:00.000,2014,5,20,2,20140520,2
2014-05-27 00:00:00.000,2014,5,27,2,20140527,2
2014-04-11 00:00:00.000,2014,4,11,2,20140411,5
2014-05-28 00:00:00.000,2014,5,28,2,20140528,3
2014-04-12 00:00:00.000,2014,4,12,2,20140412,6
2014-06-26 00:00:00.000,2014,6,26,2,20140626,4
2014-06-03 00:00:00.000,2014,6,3,2,20140603,2
2014-06-13 00:00:00.000,2014,6,13,2,20140613,5
2014-06-25 00:00:00.000,2014,6,25,2,20140625,3
2014-06-06 00:00:00.000,2014,6,6,2,20140606,5
2014-06-05 00:00:00.000,2014,6,5,2,20140605,4
2014-06-17 00:00:00.000,2014,6,17,2,20140617,2
2014-06-07 00:00:00.000,2014,6,7,2,20140607,6
2014-04-28 00:00:00.000,2014,4,28,2,20140428,1
2014-05-29 00:00:00.000,2014,5,29,2,20140529,4
2014-04-01 00:00:00.000,2014,4,1,2,20140401,2
2014-04-21 00:00:00.000,2014,4,21,2,20140421,1
2014-06-27 00:00:00.000,2014,6,27,2,20140627,5
2014-05-14 00:00:00.000,2014,5,14,2,20140514,3
2014-06-10 00:00:00.000,2014,6,10,2,20140610,2
2014-06-22 00:00:00.000,2014,6,22,2,20140622,0
2014-06-21 00:00:00.000,2014,6,21,2,20140621,6
2014-04-24 00:00:00.000,2014,4,24,2,20140424,4
2014-05-02 00:00:00.000,2014,5,2,2,20140502,5
2014-06-14 00:00:00.000,2014,6,14,2,20140614,6
2014-05-16 00:00:00.000,2014,5,16,2,20140516,5
2014-05-08 00:00:00.000,2014,5,8,2,20140508,4
2014-05-13 00:00:00.000,2014,5,13,2,20140513,2
2014-05-30 00:00:00.000,2014,5,30,2,20140530,5
2014-06-23 00:00:00.000,2014,6,23,2,20140623,1
2014-05-06 00:00:00.000,2014,5,6,2,20140506,2
2014-06-11 00:00:00.000,2014,6,11,2,20140611,3
2014-04-03 00:00:00.000,2014,4,3,2,20140403,4
2014-06-02 00:00:00.000,2014,6,2,2,20140602,1
2014-04-07 00:00:00.000,2014,4,7,2,20140407,1
2014-05-09 00:00:00.000,2014,5,9,2,20140509,5
2014-04-17 00:00:00.000,2014,4,17,2,20140417,4
2014-05-01 00:00:00.000,2014,5,1,2,20140501,4
2014-04-05 00:00:00.000,2014,4,5,2,20140405,6
2014-06-16 00:00:00.000,2014,6,16,2,20140616,1
2014-05-21 00:00:00.000,2014,5,21,2,20140521,3
2014-04-09 00:00:00.000,2014,4,9,2,20140409,3
2014-05-26 00:00:00.000,2014,5,26,2,20140526,1
2014-05-19 00:00:00.000,2014,5,19,2,20140519,1
2014-06-19 00:00:00.000,2014,6,19,2,20140619,4
2014-04-10 00:00:00.000,2014,4,10,2,20140410,4
2014-06-04 00:00:00.000,2014,6,4,2,20140604,3
2014-04-16 00:00:00.000,2014,4,16,2,20140416,3
2014-05-12 00:00:00.000,2014,5,12,2,20140512,1
2014-05-15 00:00:00.000,2014,5,15,2,20140515,4
2014-05-31 00:00:00.000,2014,5,31,2,20140531,6
2014-04-25 00:00:00.000,2014,4,25,2,20140425,5
2014-06-28 00:00:00.000,2014,6,28,2,20140628,6
2014-05-10 00:00:00.000,2014,5,10,2,20140510,6
2014-04-02 00:00:00.000,2014,4,2,2,20140402,3
2014-06-18 00:00:00.000,2014,6,18,2,20140618,3
2014-04-18 00:00:00.000,2014,4,18,2,20140418,5
2014-05-05 00:00:00.000,2014,5,5,2,20140505,1
2014-04-26 00:00:00.000,2014,4,26,2,20140426,6
2014-04-29 00:00:00.000,2014,4,29,2,20140429,2
2014-04-13 00:00:00.000,2014,4,13,2,20140413,0
2014-05-03 00:00:00.000,2014,5,3,2,20140503,6
2014-04-30 00:00:00.000,2014,4,30,2,20140430,3
2014-04-15 00:00:00.000,2014,4,15,2,20140415,2
2014-04-04 00:00:00.000,2014,4,4,2,20140404,5
2014-04-22 00:00:00.000,2014,4,22,2,20140422,2
2014-06-20 00:00:00.000,2014,6,20,2,20140620,5
2014-05-23 00:00:00.000,2014,5,23,2,20140523,5
2014-05-04 00:00:00.000,2014,5,4,2,20140504,0
2014-05-07 00:00:00.000,2014,5,7,2,20140507,3
2014-04-14 00:00:00.000,2014,4,14,2,20140414,1
2014-04-23 00:00:00.000,2014,4,23,2,20140423,3
2014-04-27 00:00:00.000,2014,4,27,2,20140427,0
2014-05-24 00:00:00.000,2014,5,24,2,20140524,6
2014-04-08 00:00:00.000,2014,4,8,2,20140408,2
2014-05-17 00:00:00.000,2014,5,17,2,20140517,6
2014-05-22 00:00:00.000,2014,5,22,2,20140522,4
2014-04-20 00:00:00.000,2014,4,20,2,20140420,0
2014-06-15 00:00:00.000,2014,6,15,2,20140615,0
2014-04-06 00:00:00.000,2014,4,6,2,20140406,0
2014-04-19 00:00:00.000,2014,4,19,2,20140419,6
2014-06-08 00:00:00.000,2014,6,8,2,20140608,0
2014-06-29 00:00:00.000,2014,6,29,2,20140629,0
2014-05-11 00:00:00.000,2014,5,11,2,20140511,0
2014-06-01 00:00:00.000,2014,6,1,2,20140601,0
2014-05-25 00:00:00.000,2014,5,25,2,20140525,0
2014-05-18 00:00:00.000,2014,5,18,2,20140518,0
2014-08-01 00:00:00.000,2014,8,1,3,20140801,5
2014-08-20 00:00:00.000,2014,8,20,3,20140820,3
2014-08-14 00:00:00.000,2014,8,14,3,20140814,4
2014-08-05 00:00:00.000,2014,8,5,3,20140805,2
2014-07-23 00:00:00.000,2014,7,23,3,20140723,3
2014-09-12 00:00:00.000,2014,9,12,3,20140912,5
2014-09-11 00:00:00.000,2014,9,11,3,20140911,4
2014-09-16 00:00:00.000,2014,9,16,3,20140916,2
2014-09-13 00:00:00.000,2014,9,13,3,20140913,6
2014-08-30 00:00:00.000,2014,8,30,3,20140830,6
2014-09-25 00:00:00.000,2014,9,25,3,20140925,4
2014-08-31 00:00:00.000,2014,8,31,3,20140831,0
2014-08-25 00:00:00.000,2014,8,25,3,20140825,1
2014-08-15 00:00:00.000,2014,8,15,3,20140815,5
2014-08-07 00:00:00.000,2014,8,7,3,20140807,4
2014-09-18 00:00:00.000,2014,9,18,3,20140918,4
2014-09-03 00:00:00.000,2014,9,3,3,20140903,3
2014-07-02 00:00:00.000,2014,7,2,3,20140702,3
2014-08-27 00:00:00.000,2014,8,27,3,20140827,3
2014-07-14 00:00:00.000,2014,7,14,3,20140714,1
2014-09-08 00:00:00.000,2014,9,8,3,20140908,1
2014-08-26 00:00:00.000,2014,8,26,3,20140826,2
2014-08-04 00:00:00.000,2014,8,4,3,20140804,1
2014-09-04 00:00:00.000,2014,9,4,3,20140904,4
2014-09-19 00:00:00.000,2014,9,19,3,20140919,5
2014-08-06 00:00:00.000,2014,8,6,3,20140806,3
2014-08-08 00:00:00.000,2014,8,8,3,20140808,5
2014-09-29 00:00:00.000,2014,9,29,3,20140929,1
2014-07-08 00:00:00.000,2014,7,8,3,20140708,2
2014-07-15 00:00:00.000,2014,7,15,3,20140715,2
2014-08-09 00:00:00.000,2014,8,9,3,20140809,6
2014-09-21 00:00:00.000,2014,9,21,3,20140921,0
2014-07-06 00:00:00.000,2014,7,6,3,20140706,0
2014-09-30 00:00:00.000,2014,9,30,3,20140930,2
2014-08-12 00:00:00.000,2014,8,12,3,20140812,2
2014-09-05 00:00:00.000,2014,9,5,3,20140905,5
2014-09-10 00:00:00.000,2014,9,10,3,20140910,3
2014-08-28 00:00:00.000,2014,8,28,3,20140828,4
2014-07-30 00:00:00.000,2014,7,30,3,20140730,3
2014-09-24 00:00:00.000,2014,9,24,3,20140924,3
2014-09-06 00:00:00.000,2014,9,6,3,20140906,6
2014-07-01 00:00:00.000,2014,7,1,3,20140701,2
2014-09-23 00:00:00.000,2014,9,23,3,20140923,2
2014-09-20 00:00:00.000,2014,9,20,3,20140920,6
2014-07-22 00:00:00.000,2014,7,22,3,20140722,2
2014-07-24 00:00:00.000,2014,7,24,3,20140724,4
2014-08-21 00:00:00.000,2014,8,21,3,20140821,4
2014-07-13 00:00:00.000,2014,7,13,3,20140713,0
2014-08-13 00:00:00.000,2014,8,13,3,20140813,3
2014-07-04 00:00:00.000,2014,7,4,3,20140704,5
2014-07-28 00:00:00.000,2014,7,28,3,20140728,1
2014-09-01 00:00:00.000,2014,9,1,3,20140901,1
2014-09-02 00:00:00.000,2014,9,2,3,20140902,2
2014-07-03 00:00:00.000,2014,7,3,3,20140703,4
2014-07-09 00:00:00.000,2014,7,9,3,20140709,3
2014-09-15 00:00:00.000,2014,9,15,3,20140915,1
2014-07-17 00:00:00.000,2014,7,17,3,20140717,4
2014-09-26 00:00:00.000,2014,9,26,3,20140926,5
2014-08-19 00:00:00.000,2014,8,19,3,20140819,2
2014-08-22 00:00:00.000,2014,8,22,3,20140822,5
2014-09-17 00:00:00.000,2014,9,17,3,20140917,3
2014-07-10 00:00:00.000,2014,7,10,3,20140710,4
2014-07-21 00:00:00.000,2014,7,21,3,20140721,1
2014-08-18 00:00:00.000,2014,8,18,3,20140818,1
2014-07-26 00:00:00.000,2014,7,26,3,20140726,6
2014-08-17 00:00:00.000,2014,8,17,3,20140817,0
2014-09-22 00:00:00.000,2014,9,22,3,20140922,1
2014-08-02 00:00:00.000,2014,8,2,3,20140802,6
2014-08-29 00:00:00.000,2014,8,29,3,20140829,5
2014-09-09 00:00:00.000,2014,9,9,3,20140909,2
2014-07-18 00:00:00.000,2014,7,18,3,20140718,5
2014-07-11 00:00:00.000,2014,7,11,3,20140711,5
2014-07-12 00:00:00.000,2014,7,12,3,20140712,6
2014-08-24 00:00:00.000,2014,8,24,3,20140824,0
2014-09-27 00:00:00.000,2014,9,27,3,20140927,6
2014-07-29 00:00:00.000,2014,7,29,3,20140729,2
2014-08-23 00:00:00.000,2014,8,23,3,20140823,6
2014-08-16 00:00:00.000,2014,8,16,3,20140816,6
2014-09-14 00:00:00.000,2014,9,14,3,20140914,0
2014-07-31 00:00:00.000,2014,7,31,3,20140731,4
2014-08-11 00:00:00.000,2014,8,11,3,20140811,1
2014-07-16 00:00:00.000,2014,7,16,3,20140716,3
2014-07-25 00:00:00.000,2014,7,25,3,20140725,5
2014-07-19 00:00:00.000,2014,7,19,3,20140719,6
2014-09-28 00:00:00.000,2014,9,28,3,20140928,0
2014-07-05 00:00:00.000,2014,7,5,3,20140705,6
2014-07-07 00:00:00.000,2014,7,7,3,20140707,1
2014-07-27 00:00:00.000,2014,7,27,3,20140727,0
2014-08-03 00:00:00.000,2014,8,3,3,20140803,0
2014-09-07 00:00:00.000,2014,9,7,3,20140907,0
2014-07-20 00:00:00.000,2014,7,20,3,20140720,0
2014-08-10 00:00:00.000,2014,8,10,3,20140810,0
2014-03-07 00:00:00.000,2014,3,7,1,20140307,5
2014-01-01 00:00:00.000,2014,1,1,1,20140101,3
2014-01-24 00:00:00.000,2014,1,24,1,20140124,5
2014-01-13 00:00:00.000,2014,1,13,1,20140113,1
2014-03-02 00:00:00.000,2014,3,2,1,20140302,0
2014-03-31 00:00:00.000,2014,3,31,1,20140331,1
2014-03-12 00:00:00.000,2014,3,12,1,20140312,3
2014-01-22 00:00:00.000,2014,1,22,1,20140122,3
2014-02-11 00:00:00.000,2014,2,11,1,20140211,2
2014-01-29 00:00:00.000,2014,1,29,1,20140129,3
2014-02-24 00:00:00.000,2014,2,24,1,20140224,1
2014-03-10 00:00:00.000,2014,3,10,1,20140310,1
2014-02-19 00:00:00.000,2014,2,19,1,20140219,3
2014-02-17 00:00:00.000,2014,2,17,1,20140217,1
2014-03-20 00:00:00.000,2014,3,20,1,20140320,4
2014-03-26 00:00:00.000,2014,3,26,1,20140326,3
2014-02-12 00:00:00.000,2014,2,12,1,20140212,3
2014-02-28 00:00:00.000,2014,2,28,1,20140228,5
2014-02-10 00:00:00.000,2014,2,10,1,20140210,1
2014-03-09 00:00:00.000,2014,3,9,1,20140309,0
2014-02-07 00:00:00.000,2014,2,7,1,20140207,5
2014-01-10 00:00:00.000,2014,1,10,1,20140110,5
2014-03-28 00:00:00.000,2014,3,28,1,20140328,5
2014-03-01 00:00:00.000,2014,3,1,1,20140301,6
2014-02-13 00:00:00.000,2014,2,13,1,20140213,4
2014-03-25 00:00:00.000,2014,3,25,1,20140325,2
2014-01-31 00:00:00.000,2014,1,31,1,20140131,5
2014-01-25 00:00:00.000,2014,1,25,1,20140125,6
2014-02-14 00:00:00.000,2014,2,14,1,20140214,5
2014-03-03 00:00:00.000,2014,3,3,1,20140303,1
2014-02-21 00:00:00.000,2014,2,21,1,20140221,5
2014-03-14 00:00:00.000,2014,3,14,1,20140314,5
2014-01-02 00:00:00.000,2014,1,2,1,20140102,4
2014-02-06 00:00:00.000,2014,2,6,1,20140206,4
2014-03-22 00:00:00.000,2014,3,22,1,20140322,6
2014-02-18 00:00:00.000,2014,2,18,1,20140218,2
2014-03-05 00:00:00.000,2014,3,5,1,20140305,3
2014-03-08 00:00:00.000,2014,3,8,1,20140308,6
2014-02-25 00:00:00.000,2014,2,25,1,20140225,2
2014-01-04 00:00:00.000,2014,1,4,1,20140104,6
2014-03-04 00:00:00.000,2014,3,4,1,20140304,2
2014-03-27 00:00:00.000,2014,3,27,1,20140327,4
2014-01-15 00:00:00.000,2014,1,15,1,20140115,3
2014-01-03 00:00:00.000,2014,1,3,1,20140103,5
2014-03-15 00:00:00.000,2014,3,15,1,20140315,6
2014-01-09 00:00:00.000,2014,1,9,1,20140109,4
2014-03-13 00:00:00.000,2014,3,13,1,20140313,4
2014-02-27 00:00:00.000,2014,2,27,1,20140227,4
2014-01-28 00:00:00.000,2014,1,28,1,20140128,2
2014-03-24 00:00:00.000,2014,3,24,1,20140324,1
2014-03-19 00:00:00.000,2014,3,19,1,20140319,3
2014-02-20 00:00:00.000,2014,2,20,1,20140220,4
2014-03-21 00:00:00.000,2014,3,21,1,20140321,5
2014-02-22 00:00:00.000,2014,2,22,1,20140222,6
2014-02-26 00:00:00.000,2014,2,26,1,20140226,3
2014-01-17 00:00:00.000,2014,1,17,1,20140117,5
2014-02-04 00:00:00.000,2014,2,4,1,20140204,2
2014-03-30 00:00:00.000,2014,3,30,1,20140330,0
2014-01-23 00:00:00.000,2014,1,23,1,20140123,4
2014-02-03 00:00:00.000,2014,2,3,1,20140203,1
2014-03-17 00:00:00.000,2014,3,17,1,20140317,1
2014-03-18 00:00:00.000,2014,3,18,1,20140318,2
2014-03-11 00:00:00.000,2014,3,11,1,20140311,2
2014-01-30 00:00:00.000,2014,1,30,1,20140130,4
2014-01-27 00:00:00.000,2014,1,27,1,20140127,1
2014-01-21 00:00:00.000,2014,1,21,1,20140121,2
2014-03-06 00:00:00.000,2014,3,6,1,20140306,4
2014-01-07 00:00:00.000,2014,1,7,1,20140107,2
2014-01-16 00:00:00.000,2014,1,16,1,20140116,4
2014-01-20 00:00:00.000,2014,1,20,1,20140120,1
2014-01-08 00:00:00.000,2014,1,8,1,20140108,3
2014-02-05 00:00:00.000,2014,2,5,1,20140205,3
2014-01-18 00:00:00.000,2014,1,18,1,20140118,6
2014-01-06 00:00:00.000,2014,1,6,1,20140106,1
2014-02-16 00:00:00.000,2014,2,16,1,20140216,0
2014-02-01 00:00:00.000,2014,2,1,1,20140201,6
2014-02-08 00:00:00.000,2014,2,8,1,20140208,6
2014-01-14 00:00:00.000,2014,1,14,1,20140114,2
2014-03-29 00:00:00.000,2014,3,29,1,20140329,6
2014-02-15 00:00:00.000,2014,2,15,1,20140215,6
2014-01-05 00:00:00.000,2014,1,5,1,20140105,0
2014-01-26 00:00:00.000,2014,1,26,1,20140126,0
2014-03-23 00:00:00.000,2014,3,23,1,20140323,0
2014-02-23 00:00:00.000,2014,2,23,1,20140223,0
2014-01-11 00:00:00.000,2014,1,11,1,20140111,6
2014-01-12 00:00:00.000,2014,1,12,1,20140112,0
2014-01-19 00:00:00.000,2014,1,19,1,20140119,0
2014-02-09 00:00:00.000,2014,2,9,1,20140209,0
2014-03-16 00:00:00.000,2014,3,16,1,20140316,0
2014-02-02 00:00:00.000,2014,2,2,1,20140202,0
2013-03-08 00:00:00.000,2013,3,8,1,20130308,5
2013-03-14 00:00:00.000,2013,3,14,1,20130314,4
2013-02-04 00:00:00.000,2013,2,4,1,20130204,1
2013-01-23 00:00:00.000,2013,1,23,1,20130123,3
2013-01-10 00:00:00.000,2013,1,10,1,20130110,4
2013-01-07 00:00:00.000,2013,1,7,1,20130107,1
2013-03-28 00:00:00.000,2013,3,28,1,20130328,4
2013-03-26 00:00:00.000,2013,3,26,1,20130326,2
2013-01-31 00:00:00.000,2013,1,31,1,20130131,4
2013-02-05 00:00:00.000,2013,2,5,1,20130205,2
2013-02-27 00:00:00.000,2013,2,27,1,20130227,3
2013-02-28 00:00:00.000,2013,2,28,1,20130228,4
2013-02-19 00:00:00.000,2013,2,19,1,20130219,2
2013-03-15 00:00:00.000,2013,3,15,1,20130315,5
2013-03-04 00:00:00.000,2013,3,4,1,20130304,1
2013-01-03 00:00:00.000,2013,1,3,1,20130103,4
2013-02-16 00:00:00.000,2013,2,16,1,20130216,6
2013-03-09 00:00:00.000,2013,3,9,1,20130309,6
2013-03-20 00:00:00.000,2013,3,20,1,20130320,3
2013-01-17 00:00:00.000,2013,1,17,1,20130117,4
2013-02-07 00:00:00.000,2013,2,7,1,20130207,4
2013-03-23 00:00:00.000,2013,3,23,1,20130323,6
2013-01-09 00:00:00.000,2013,1,9,1,20130109,3
2013-03-11 00:00:00.000,2013,3,11,1,20130311,1
2013-02-08 00:00:00.000,2013,2,8,1,20130208,5
2013-01-24 00:00:00.000,2013,1,24,1,20130124,4
2013-02-12 00:00:00.000,2013,2,12,1,20130212,2
2013-03-07 00:00:00.000,2013,3,7,1,20130307,4
2013-01-22 00:00:00.000,2013,1,22,1,20130122,2
2013-03-01 00:00:00.000,2013,3,1,1,20130301,5
2013-02-13 00:00:00.000,2013,2,13,1,20130213,3
2013-03-19 00:00:00.000,2013,3,19,1,20130319,2
2013-03-25 00:00:00.000,2013,3,25,1,20130325,1
2013-01-30 00:00:00.000,2013,1,30,1,20130130,3
2013-03-18 00:00:00.000,2013,3,18,1,20130318,1
2013-03-13 00:00:00.000,2013,3,13,1,20130313,3
2013-03-12 00:00:00.000,2013,3,12,1,20130312,2
2013-02-03 00:00:00.000,2013,2,3,1,20130203,0
2013-02-22 00:00:00.000,2013,2,22,1,20130222,5
2013-03-10 00:00:00.000,2013,3,10,1,20130310,0
2013-02-21 00:00:00.000,2013,2,21,1,20130221,4
2013-01-16 00:00:00.000,2013,1,16,1,20130116,3
2013-03-05 00:00:00.000,2013,3,5,1,20130305,2
2013-03-27 00:00:00.000,2013,3,27,1,20130327,3
2013-02-06 00:00:00.000,2013,2,6,1,20130206,3
2013-01-11 00:00:00.000,2013,1,11,1,20130111,5
2013-03-30 00:00:00.000,2013,3,30,1,20130330,6
2013-03-21 00:00:00.000,2013,3,21,1,20130321,4
2013-03-31 00:00:00.000,2013,3,31,1,20130331,0
2013-03-29 00:00:00.000,2013,3,29,1,20130329,5
2013-01-14 00:00:00.000,2013,1,14,1,20130114,1
2013-02-14 00:00:00.000,2013,2,14,1,20130214,4
2013-01-05 00:00:00.000,2013,1,5,1,20130105,6
2013-01-15 00:00:00.000,2013,1,15,1,20130115,2
2013-03-16 00:00:00.000,2013,3,16,1,20130316,6
2013-02-23 00:00:00.000,2013,2,23,1,20130223,6
2013-02-02 00:00:00.000,2013,2,2,1,20130202,6
2013-01-28 00:00:00.000,2013,1,28,1,20130128,1
2013-01-25 00:00:00.000,2013,1,25,1,20130125,5
2013-02-01 00:00:00.000,2013,2,1,1,20130201,5
2013-01-04 00:00:00.000,2013,1,4,1,20130104,5
2013-01-02 00:00:00.000,2013,1,2,1,20130102,3
2013-03-22 00:00:00.000,2013,3,22,1,20130322,5
2013-02-11 00:00:00.000,2013,2,11,1,20130211,1
2013-02-25 00:00:00.000,2013,2,25,1,20130225,1
2013-03-06 00:00:00.000,2013,3,6,1,20130306,3
2013-02-20 00:00:00.000,2013,2,20,1,20130220,3
2013-01-01 00:00:00.000,2013,1,1,1,20130101,2
2013-01-21 00:00:00.000,2013,1,21,1,20130121,1
2013-02-18 00:00:00.000,2013,2,18,1,20130218,1
2013-01-08 00:00:00.000,2013,1,8,1,20130108,2
2013-01-18 00:00:00.000,2013,1,18,1,20130118,5
2013-01-26 00:00:00.000,2013,1,26,1,20130126,6
2013-01-19 00:00:00.000,2013,1,19,1,20130119,6
2013-01-29 00:00:00.000,2013,1,29,1,20130129,2
2013-03-03 00:00:00.000,2013,3,3,1,20130303,0
2013-02-15 00:00:00.000,2013,2,15,1,20130215,5
2013-02-26 00:00:00.000,2013,2,26,1,20130226,2
2013-01-12 00:00:00.000,2013,1,12,1,20130112,6
2013-03-02 00:00:00.000,2013,3,2,1,20130302,6
2013-01-27 00:00:00.000,2013,1,27,1,20130127,0
2013-02-09 00:00:00.000,2013,2,9,1,20130209,6
2013-02-10 00:00:00.000,2013,2,10,1,20130210,0
2013-01-13 00:00:00.000,2013,1,13,1,20130113,0
2013-03-17 00:00:00.000,2013,3,17,1,20130317,0
2013-03-24 00:00:00.000,2013,3,24,1,20130324,0
2013-01-06 00:00:00.000,2013,1,6,1,20130106,0
2013-01-20 00:00:00.000,2013,1,20,1,20130120,0
2013-02-17 00:00:00.000,2013,2,17,1,20130217,0
2013-02-24 00:00:00.000,2013,2,24,1,20130224,0
2013-06-11 00:00:00.000,2013,6,11,2,20130611,2
2013-05-21 00:00:00.000,2013,5,21,2,20130521,2
2013-04-26 00:00:00.000,2013,4,26,2,20130426,5
2013-04-02 00:00:00.000,2013,4,2,2,20130402,2
2013-05-01 00:00:00.000,2013,5,1,2,20130501,3
2013-06-02 00:00:00.000,2013,6,2,2,20130602,0
2013-04-20 00:00:00.000,2013,4,20,2,20130420,6
2013-04-17 00:00:00.000,2013,4,17,2,20130417,3
2013-06-05 00:00:00.000,2013,6,5,2,20130605,3
